source,target,year
"2018-46 • FAMILY, LABOR, AND CAPITALISM",Sarah Winsberg,2018
2019-31 • BAD BICENTENNIAL: A ROUNDTABLE ON THE PANIC,Sarah Winsberg,2019
2014-28  A PLAGUE IN FOUR PARTS: YELLOW FEVER IN THE,Sari Altschuler,2014
"2015-7 • DISABILITY, SECULARITY, AND THE BOUNDARIES OF",Sari Altschuler,2015
2019-35 • ROUNDTABLE: THE MANY FACETS OF HARRIET,Sari Altschuler,2019
2008-29. New Perspectives on Print and Politics in the 1790s,Sari Edelstein,2008
2017-8 • MENTAL ILLNESS AND RACIALIZED MEDICINE IN THE,Sasha Turner,2017
1997-1. Jack N. Rakove's Original Meanings:,Saul Cornell,1997
2001-1. BEYOND THE FOUNDERS I: NEW APPROACHES TO POLITICAL HISTORY,Saul Cornell,2001
2004-30. Digital Searches (MacMillan 117),Saul Cornell,2004
2006-16. Constitutional and Civil Liberties in the Early Republic,Saul Cornell,2006
2016-48 • NEW DIRECTIONS IN THE HISTORY OF SLAVERY,Savannah Williamson,2016
2002-1. FROM EMERSON TO JEFFERSON: TWO ROMANTICS AND RACE,Scot French,2002
2017-37 • FOREIGN AND DOMESTIC: ALCOHOL AND CONFLICT IN,Scott C. Martin,2017
1988-1. Loosening the Ties that Bind Us: Crisis of,Scott C. Martin,1988
1989-17. Reading Cultures,Scott C. Martin,1989
1990-10. Class and Community in Early National Georgia,Scott C. Martin,1990
"1995-7. CLASS, CULTURE, & MARKET",Scott C. Martin,1995
1996-1. Women in the Public Arena,Scott C. Martin,1996
1997-1. Family Violence in the Early,Scott C. Martin,1997
1998-1. Away from Home in the Early Republic,Scott C. Martin,1998
"1999-1. Physicians, Medicine, and Reform",Scott C. Martin,1999
2000-18. THE CULTURAL HISTORY OF THE MARKET,Scott C. Martin,2000
2001-1. INTERDISCIPLINARY PERSPECTIVES ON TEMPERANCE AND DRINKING IN THE,Scott C. Martin,2001
2006-32. Diary as Homing Device: Writing across Time and Space in Early Canada,Scott C. Martin,2006
"2017-21 • WOMEN, GENDER, AND RISK IN THE DEVELOPMENT OF",Scott C. Miller,2017
2021-25: Roundtable: Washington’s Many Afterlives In,Scott Casper,2021
1992-2. Inculcating Virtue in the American Republic,Scott Casper,1992
1995-17. LITERARY BIOGRAPHY: JAMES,Scott Casper,1995
"1996-1. Literature and Discourse, 1790-1820",Scott Casper,1996
"2001-1. PLENARY SESSION The Great Hall, Levering Hall Thursday, 7:00–9:00",Scott Casper,2001
2003-18. HISTORICAL EDITORS PAST AND,Scott Casper,2003
1998-1. Art and Culture in Early,Scott Dimond,1998
2000-27. PATHS TO REFORM,Scott Gac,2000
2014-41  NEGOTIATED FREEDOM: AFRICAN AMERICANS,Scott Hancock,2014
"2015-6 • VIOLENCE, BELONGING, AND ASYLUM: NEW",Scott Hancock,2015
1998-1. Sources of African American Communities,Scott Hancock,1998
"2001-1. RACE, REVOLUTION, AND REFORM: REDEFINING LEGAL BOUNDARIES OF",Scott Hancock,2001
"2014-38  EMPLOYING FRIENDS, STRUCTURING FAMILIES, AND",Scott Heerman,2014
2019-27 • RETHINKING THE LAW OF ABOLITION: SLAVERY AND,Scott Heerman,2019
"2015-7 • DISABILITY, SECULARITY, AND THE BOUNDARIES OF",Scott Larson,2015
2009-2. Whither the Evangelical Revolution: New Work in Southern,Scott M. Stephan,2009
2005-1. Constructions of Gender in the South (Adams Room),Scott M. Stephan,2005
2012-NEW DIRECTIONS IN WAR OF 1812 SCHOLARSHIP,Scott S. Sheads,2012
2003-27. THE WAR OF 1812:,Scott S. Sheads,2003
2017-24 • FORECASTING THE FUTURE IN ANTEBELLUM AMERICA,Scott Sandage,2017
"2018-46 • FAMILY, LABOR, AND CAPITALISM",Scott Sandage,2018
2019-31 • BAD BICENTENNIAL: A ROUNDTABLE ON THE PANIC,Scott Sandage,2019
"1994-Panel 15: Financial Failure in the Early Republic Devlin Hall, Room 117",Scott Sandage,1994
1997-1. Annette Gordon-Reed's Thomas,Scott Sandage,1997
1999-1. Studies in Failure,Scott Sandage,1999
"2013-4 • CRAPPY STUFF, STOLEN GOODS, AND CUTTHROAT",Sean Adams,2013
2015-37 • PERSPECTIVES ON ENERGY AND THE EARLY REPUBLIC,Sean Adams,2015
2003-4.)GREAT BOOKS I: JOHN LARSON'S,Sean Adams,2003
"2004-8. Nature's Resources: Narratives of Commodification,",Sean Adams,2004
"2006-31. Institutionalizing the Body Politic: Enterprise, Finances, and Federalism in the Early Republic",Sean Adams,2006
2001-1. RACE AND RELIGION IN THE,Sean Condon,2001
"1996-1. Disease, Medicine, and Society",Sean D. Smith,1996
2021-6: Geography Lessons: Spatial Thinking Beyond,Sean Fraga,2021
2021-12: Technology Transfers In The Early American,Sean Fraga,2021
2019-17 • REVISITING SLAVERY AS AN INSTITUTION:,Sean Gallagher,2019
2022-9: Black Resistance And Black Revolution:,Sean Gallagher,2022
2017-52 • NEW APPROACHES TO WESTERN EXPANSION AND,Sean Griffin,2017
2019-36 • INEQUALITIES AND INTERSECTIONS IN THE,Sean Griffin,2019
2022-39: The Union Reformers: Rediscovering,Sean Griffin,2022
"2011-47. Race, Science, and National Expansion",Sean Harvey,2011
2012-ETHNOLOGYENSLAVEMENTAND EMPIRE,Sean Harvey,2012
"2010-47. Race, Science, and National Expansion",Sean Harvey,2010
2016-35 • CAN WE THEORIZE A,Sean Munger,2016
1998-1. Distant Neighbors? The Problem of Economic Sectionalism in the,Sean Patrick Adams,1998
2000-29. INFORMING CITIZENS FOR AN AGRARIAN,Sean R. Busick,2000
1999-1. Fever in Philadelphia,Sean Taylor,1999
2012-THE EARLY REPUBLIC,Sean Trainor,2012
"2013-4 • CRAPPY STUFF, STOLEN GOODS, AND CUTTHROAT",Sean Trainor,2013
"2015-26 • BY THE HAIR OF THEIR CHINS: MANHOOD, COERCION,",Sean Trainor,2015
2016-16 • LOOKING BEYOND THE PARLOR,Sean Trainor,2016
2011-25. Roundtable: A Social Historian,Sean Wilentz,2011
2010-25. Roundtable: A Social Historian’s Millennium—The Work of,Sean Wilentz,2010
"2006-1. La révolution haïtienne et sa dimension continentale : la diplomatie, la culture, l'idéologie / The Haitian Revolution in a Continental Dimension: Diplomacy, Culture, Ideology",Sean X. Goucie,2006
2009-26. Teaching the Early Republic: A Roundtable,Serena Zabin,2009
2015-54 • NINE MONTHS IN PHILADELPHIA: BRITISH,Serena Zabin,2015
2016-20 • DIGITAL HUMANITIES ROUNDTABLE,Serena Zabin,2016
2017-43 • GENDER POLITICS OF THE FAMILY BUSINESS,Serena Zabin,2017
2017-43 • GENDER POLITICS OF THE FAMILY BUSINESS,Serena Zabin,2017
2019-45 • A USEFUL REVOLUTION,Serena Zabin,2019
2022-32: Presidential Address,Serena Zabin,2022
2007-29. Republicanism across Borders,Serena Zabin,2007
2011-1. African American Communities and Identity,Sergio Lussana,2011
2017-49 • MANHOOD IN BLACK AND WHITE: NEGOTIATING,Sergio Lussana,2017
2010-1. African American Communities and Identity,Sergio Lussana,2010
2008-13. Patricide and American Public Opinion about the French Revolution,Seth Cotlar,2008
2011-17. The History of History in the Early Republic,Seth Cotlar,2011
2012-FANTASY,Seth Cotlar,2012
2013-24 • CRAFTING CONFIDENCE: COMMERCIAL ACTORS AND RISK,Seth Cotlar,2013
2014-4  SPECTERS OF THE 1790S,Seth Cotlar,2014
"2016-PLENARY • A CONVERSATION WITH LINMANUEL MIRANDA, CREATOR OF THE MUSICAL",Seth Cotlar,2016
2017-16 • CREATING THE PAST IN THE EARLY REPUBLIC:,Seth Cotlar,2017
2018-13 • THE LANGUAGE OF POLITICS AND THE POLITICS OF,Seth Cotlar,2018
2019-45 • A USEFUL REVOLUTION,Seth Cotlar,2019
2010-17. The History of History in the Early Republic,Seth Cotlar,2010
1996-1. Economic Liberalism in Thought & Practice,Seth Cotlar,1996
1998-1. Rethinking the Political History of the Early,Seth Cotlar,1998
2001-1. BEYOND THE FOUNDERS I: NEW APPROACHES TO POLITICAL HISTORY,Seth Cotlar,2001
"2002-11. AMERICA, FRANCE, AND BRITAIN: TRANSATLANTIC PERSPECTIVES ON POLITICAL CULTURE İN THE AGE OF REVOLUTION",Seth Cotlar,2002
2005-1. Anxious Democrats: The Problem of Republican Governance in the Early Republic,Seth Cotlar,2005
2006-12. Civil Society and Civic Culture in the Antebellum Era,Seth Cotlar,2006
2007-7. French Connection,Seth Cotlar,2007
2007-7. French Connection,Seth Cotlar,2007
2008-41. Biography and the Politics of Slavery,Seth M. Gates,2008
2012-SACRED READINGMORAL TEXTS,Seth Perry,2012
2015-25 • REAL ESTATE AND MORALITY IN THE EARLY AMERICAN,Seth Perry,2015
2019-15 • DIFFERENT DRUMMERS: IMPROVISING SINGULAR,Seth Perry,2019
2008-21. Where is Labor History of the Early Republic,Seth Rockman,2008
2012-INTERDISCIPLINARY PERSPECTIVES,Seth Rockman,2012
2014-21  PRESIDENT,Seth Rockman,2014
2015-PLENARY  ENERGY REGIMES OF THE,Seth Rockman,2015
"1996-1. Poverty, Slavery, & Wage Labor in",Seth Rockman,1996
1997-1. Getting into the Almshouse in the,Seth Rockman,1997
2001-1. BIOGRAPHY AND BALTIMORE,Seth Rockman,2001
"2002-21. CONTESTING UNIVERSAL RIGHTS, EQUALITY, AND RACIAL DISTINCTIONS IN THE UPPER SOUTH",Seth Rockman,2002
2004-23. Class: A Useful Category of Analysis for the Early Republic? (Foxboro,Seth Rockman,2004
2007-15. New Perspectives on Women's Labor and the Making of the Early,Seth Rockman,2007
1988-1. In the Eye of the Beholder: Republicanism,Seth Wigderson,1988
"1987-1. Plenary Session 1619 Walnut, Auditorium, Stage 3",Seymour Drescher,1987
"1988-1. Early Republican Science, Practical and",Seymour S. Cohen,1988
"2000-15. BODIES OF KNOWLEDGE: SCIENCE,",Seymour S. Cohen,2000
2016-35 • CAN WE THEORIZE A,Shannon C. Eaves,2016
"2013-19 • RACE, POLITICS, AND THE LAW",Shannon Duffy,2013
2014-15  ROUNDTABLE: OPPORTUNITIES AND OUTCOMES,Shannon Duffy,2014
2014-26  MOBILITY AND THE MAKING OF EARLY NATIONAL,Shari Rabin,2014
2016-48 • NEW DIRECTIONS IN THE HISTORY OF SLAVERY,Sharla Fett,2016
2007-15. New Perspectives on Women's Labor and the Making of the Early,Sharla Fett,2007
2008-20. Practicing History in the Town Square,Sharon Ann Holt,2008
"2021-45: Roundtable On Public History, Today And",Sharon Leon,2021
2013-50 • BANKS A LOT: PERSPECTIVES ON THE EARLY,Sharon Murphy,2013
2016-46 • REGULATING MARITIME MIGRANTS IN THE EARLY,Sharon Murphy,2016
2017-26 • ANXIETIES IN PRINT: COMMERCIAL UNCERTAINTY AND,Sharon Murphy,2017
2018-52 • FINANCIAL OPPORTUNITY AND ADVERSITY IN THE,Sharon Murphy,2018
2019-31 • BAD BICENTENNIAL: A ROUNDTABLE ON THE PANIC,Sharon Murphy,2019
2022-6: Enslaver Capitalism And The Growth Of,Sharon Murphy,2022
2005-1. Buying and Selling; Life and Death (Hancock Room),Sharon Murphy,2005
2007-19. Navigating Risk: The Cultural Politics of Innovation in the Early,Sharon Murphy,2007
2008-39. Myths and Realities of a Well-Regulated Society,Shawn Kimmel,2008
2005-1. Anxious Democrats: The Problem of Republican Governance in the Early Republic,Shawn Kimmel,2005
"2021-45: Roundtable On Public History, Today And",Sheila Arnold,2021
2013-27 • INTIMATE VIOLENCE AGAINST WIVES IN THE EARLY,Sheila Skemp,2013
2015-40 • RETHINKING WOMEN'S EDUCATION IN EARLY,Sheila Skemp,2015
2001-1. READING AND WRITING WOMEN'S LIVES,Sheila Skemp,2001
"2005-1. Domestic Revolutions: Family, Motherhood, and Community in the Early Republic (Penn Room)",Sheila Skemp,2005
2015-53 • PRACTICAL RELIGION IN THE EARLY REPUBLIC,Shelby M. Balik,2015
2019-51 • ROUNDTABLE: AT HOME IN THE EARLY REPUBLIC,Shelby M. Balik,2019
2005-2. Governance of Faith: Remapping Church and State in the Early Republic (Adams Room),Shelby M. Balik,2005
"2007-21. A Geo-History of the Early American Republic: Borders, Margins,",Shelby M. Balik,2007
2022-35: Reevaluating Migration And Citizenship In The,Sheri Huerta,2022
1999-1. Holding the Balance: Power Brokers and Mediators in Native North America Room 110,Sheri Marie Shuck,1999
2016-35 • CAN WE THEORIZE A,Sherry Johnson,2016
2018-13 • THE LANGUAGE OF POLITICS AND THE POLITICS OF,Shira Lurie,2018
2019-29 • POWER AND RIGHTS IN THE EARLY REPUBLIC,Shira Lurie,2019
2021-54: Democratic Intolerance: Illiberal Foundations,Shira Lurie,2021
2022-2: Roundtable: Writing As Righting: Doing,Shira Lurie,2022
2010-43. Behind and Beyond the Camera: Rethinking Antebellum,Shirley Teresa Wajda,2010
1998-1. Away from Home in the Early Republic,Shirley Teresa Wajda,1998
1998-1. Away from Home in the Early Republic,Shirley Teresa Wajda,1998
1999-1. Greece is the Word: The Hellenic Influence in Antebellum,Shirley Teresa Wajda,1999
"2016-33 • LAWYERS, LITIGANTS, AND THE LEGAL CULTURE OF",Signe Peterson Fourmy,2016
2009-40. The Legal Framework of the West and Its Operation,Silvana R. Siddali,2009
2011-35. Race and Rights in the Antebellum Old Northwest,Silvana R. Siddali,2011
2012-RACEEQUALITYAND RIGHTS IN THE OLD NORTHWEST,Silvana R. Siddali,2012
2013-2 • AFRICAN AMERICAN HOMESTEADS: RACE AND,Silvana R. Siddali,2013
"2015-33 • ANTEBELLUM WOMEN REFORMERS: RADICALISM,",Silvana R. Siddali,2015
2010-35. Race and Rights in the Antebellum Old Northwest,Silvana R. Siddali,2010
2021-19: The Extraterritorial Early Republic:,Simeon Simeonov,2021
2021-19: The Extraterritorial Early Republic:,Simeon Simeonov,2021
2015-8 • HISTORICAL THINKING AND SOCIAL TRANSFORMATION,Simon Finger,2015
2022-15: The Material Conditions Of Historians’ Labor: A,Simon Finger,2022
2004-14. Rethinking Periodical Culture in the Early Republic,Simon Finger,2004
"2005-1. Women and Revolution: 1750-1800, 1980-2005",Simon Newman,2005
"2011-24. Government, Law, and Economy: A Roundtable in Remembrance",Songho Ha,2011
"2010-24. Government, Law, and Economy: A Roundtable in Remembrance",Songho Ha,2010
2004-27. Reassessing the American System (Foxboro Auditorium),Songho Ha,2004
2014-56  THE REPUBLICAN COURT REVISITED: TWENTY YEARS,Sophia Rosenfeld,2014
2021-54: Democratic Intolerance: Illiberal Foundations,Sophia Rosenfeld,2021
2021-54: Democratic Intolerance: Illiberal Foundations,Sophia Rosenfeld,2021
2021-12: Technology Transfers In The Early American,Sophie Fitzmaurice,2021
"2018-42 • SONS, HEROES, AND PROPHETS: EXPRESSIONS OF",Spencer Mcbride,2018
2012-SOCIAL HISTORIES OF THE TRANSPORTATION REVOLUTION,Spencer Snow,2012
2017-54 • INTELLECTUALS IN AN ANTI-INTELLECTUAL AGE: A,Stacey Jewell Lewis,2017
"2008-44. Rethinking Race and Region in the Old Northwest, 1800-1860",Stacey Robertson,2008
2011-32. Roundtable: David Ruggles and the Making of Black Radical,Stacey Robertson,2011
2012-REPUBLIC: CROSSNATIONAL CURRENTS AND COMPARISONS,Stacey Robertson,2012
2013-PLENARY • MISSOURI: CROSSROADS OF THE,Stacey Robertson,2013
"2014-19  CONTEST 1856: YEAR OF MEN, YEAR OF WOMEN",Stacey Robertson,2014
"2015-33 • ANTEBELLUM WOMEN REFORMERS: RADICALISM,",Stacey Robertson,2015
2017-11 • ROUNDTABLE: THE ART AND PRACTICE OF BIOGRAPHY,Stacey Robertson,2017
2019-36 • INEQUALITIES AND INTERSECTIONS IN THE,Stacey Robertson,2019
2010-32. Roundtable: David Ruggles and the Making of Black Radical,Stacey Robertson,2010
2021-60: Shearites Confront Covid,Stacey Robertson,2021
2022-15: The Material Conditions Of Historians’ Labor: A,Stacey Robertson,2022
1998-1. Antislavery Women and Nationalism,Stacey Robertson,1998
"2000-2. GENDER, ANTISLAVERY, AND THIRD-PARTY",Stacey Robertson,2000
2006-22. New Perspectives on Women and Abolition,Stacey Robertson,2006
"2007-17. ""We have no sympathy with the policy of the Liberator"": A",Stacey Robertson,2007
"1997-1. Women as Consumers,",Stacy Helmbrecht-Wilson,1997
2009-20. The Papers of Abraham Lincoln: Resources for Historians,Stacy Pratt Mcdermott,2009
1999-1. The Revolutionary Aftermath,Stan Deaton,1999
2012-SLAVERYSTATEAND SOCIETY IN THE BORDERLANDS,Stanley Harrold,2012
2013-7 • STANLEY HARROLD,Stanley Harrold,2013
"2010-29. Slavery and the Evolution of Politics, 1812-1861",Stanley Harrold,2010
"1987-1. The Role of the Press in Abolitionism, Room 502",Stanley Harrold,1987
"2007-17. ""We have no sympathy with the policy of the Liberator"": A",Stanley Harrold,2007
"2007-17. ""We have no sympathy with the policy of the Liberator"": A",Stanley Harrold,2007
"1988-1. Early Republican Science, Practical and",Stanley J. Dyl,1988
1989-2. Afro-American Realities and Visions,Stefan Bielinski,1989
2009-24. The Market Giveth and Taketh Away: Entrepreneurs and Dissenters,Stephan Schwartz,2009
2012-DISESTABLISHMENTAND POLITICS,Stephanie Corrigan,2012
2016-52 • DISEASED IDENTITIES,Stephanie J. Richmond,2016
2009-34. Unionism and Secession in the North,Stephanie Kermes,2009
2003-36. IMAGES AND USES OF NATIONAL LEADERSHIP,Stephanie Kermes,2003
2006-26. Monarchical Culture in the New Republic,Stephanie Kermes,2006
2018-40 • IN RELATION TO WASHINGTON: SOLDIERS AND,Stephanie Lawton,2018
"2005-1. Domestic Revolutions: Family, Motherhood, and Community in the Early Republic (Penn Room)",Stephanie Patterson Gilbert,2005
"2008-24. Civil Theatrics: Dress, Plays, and Constitutions",Stephanie R. Hurter,2008
1997-1. Jack N. Rakove's Original Meanings:,Stephen A. Conrad,1997
2012-PERSPECTIVES ON THE DOUGHFACES,Stephen A. Douglas,2012
2009-18. Not a Nation but an Empire: Another View of the American West,Stephen A. Marini,2009
1991-9. Exposing the Convent: Nativism and,Stephen A. Marini,1991
1991-11. Sacred Song and Cultural Change in,Stephen A. Marini,1991
"1994-Panel 10: Abolitionism, Race, and Nationalism Devlin Hall, Room 026",Stephen A. Marini,1994
1994-Panel 19: Drawing the Boundaries of the Sacred:,Stephen A. Marini,1994
1988-1. The Black Economy: Voluntary and Involuntary,Stephen A. Vincent,1988
1999-1. North of Slavery,Stephen A. Vincent,1999
2000-3. RELIGIOUS TENSIONS IN ANTEBELLUM,Stephen Andrews,2000
"2003-17. FEAR, LOATHING, AND RELIGION IN ANTEBELLUM AMERICA",Stephen Andrews,2003
2009-14. Conceptualizing the Backcountry in the Early Republic,Stephen Aron,2009
2019-42 • ROUNDTABLE: FACING EAST FROM THE (NOT YET),Stephen Aron,2019
2021-33: Roundtable: Settler Colonialism And Popular,Stephen Aron,2021
"1991-14. Land, Law, and Political Culture:",Stephen Aron,1991
"1993-9. Mission, Slavery, Removal: Southern Native Americans",Stephen Aron,1993
"1995-13. ETHNICITY, RELIGION, & COLLECTIVE",Stephen Aron,1995
"1995-13. ETHNICITY, RELIGION, & COLLECTIVE",Stephen Aron,1995
1996-1. Cultural Politics in the Early National West,Stephen Aron,1996
1997-1. Ethnic Cleansing in the West in,Stephen Aron,1997
1999-1. Expanding the Boundaries,Stephen Aron,1999
2001-1. BEYOND THE BORDERS: UPPER CANADA AND MEXICAN CALIFORNIA IN THE ERA,Stephen Aron,2001
2002-1. THE WEST IN THE EARLY REPUBLIC,Stephen Aron,2002
2007-1. Borderlands: Still a Useful Category of Historical Analysis? Moderator:,Stephen Aron,2007
1999-1. Politics and Protest in Kentucky Room 211,Stephen Asperheim,1999
"2015-26 • BY THE HAIR OF THEIR CHINS: MANHOOD, COERCION,",Stephen Berry,2015
"2015-23 • THE CONTOURS OF SECOND SLAVERY: BRAZIL, CUBA,",Stephen Chambers,2015
1990-16. Comparative Perspectives on Early Constitutional,Stephen E. Gottlieb,1990
1991-7. The Dictionary of American Regional,Stephen E. Lucas,1991
"2003-13. BLACK ANTISLAVERY WRITINGS, 1760-1829: A SCHOLARLY CONVERSATION",Stephen Hall,2003
2002-15. THE GRIMKE SISTERS A,Stephen Howard Browne,2002
1985-1. Two Rural Americas: The Western Frontier and the Industrializing East Chair:,Stephen Innes,1985
2006-11. Northeastern North America in the Post-Revolutionary Era: Study Prospectuses,Stephen J. Hornsby,2006
2017-42 • THE PRESIDENT,Stephen J. Rockwell,2017
2017-8 • MENTAL ILLNESS AND RACIALIZED MEDICINE IN THE,Stephen Kenny,2017
1996-1. Slavery and Evangelicalism in the South,Stephen L. Longenecker,1996
"1997-1. Women as Consumers,",Stephen L. Longenecker,1997
2013-1 • “THERE ARE MEN OF PRINCIPLES IN BOTH PARTIES”:,Stephen Maizlish,2013
"1983-2. Problems in a Frontier Society: Chair,",Stephen Maizlish,1983
"1987-1. Presidential Revisionism: John Quincy Adams,",Stephen Maizlish,1987
"1995-25. NATIVISTS, REFORMERS, &",Stephen Maizlish,1995
"1981-1. Elections, Sectionalism and Party Strength in the Jacksonian",Stephen Maizlish,1981
1988-1. Fugitive Slave Law in the Early National Period,Stephen Middleton,1988
2009-27. The Culture of Capitalism in Antebellum America: Views from,Stephen Mihm,2009
2009-27. The Culture of Capitalism in Antebellum America: Views from,Stephen Mihm,2009
2012-TIME AND MATERIAL CULTURE IN EARLY NATIONAL AND,Stephen Mihm,2012
2013-41 • LOBBYING IN THE AGE OF SECTIONALISM,Stephen Mihm,2013
2014-54  WOMEN AND PROPERTY IN EARLY AMERICA,Stephen Mihm,2014
2018-22 • MORALITY AND MARKETS: REGULATING CAPITALISM,Stephen Mihm,2018
1999-1. Manufacturing Value: The Estimation,Stephen Mihm,1999
2003-12. GREAT BOOKS II: BRUCE MANN'S REPUBLIC OF DEBTORS,Stephen Mihm,2003
2004-17. Communications and Public Life in Antebellum America (Salomon 001),Stephen Mihm,2004
2006-21. Cultures of Deception in Antebellum America,Stephen Mihm,2006
2007-19. Navigating Risk: The Cultural Politics of Innovation in the Early,Stephen Mihm,2007
1995-10. VISIONS OF CONTROL: LANGUAGE &,Stephen P. Rice,1995
2000-4. THE DISCURSIVE FORMATION OF CLASSES IN,Stephen P. Rice,2000
1990-15. Historical Consciousness in the Early Republic,Stephen R. Grossbart,1990
"1993-14. Organizing Public Opinion, 1791-1824",Stephen R. Grossbart,1993
1995-8. THE POLITICAL CULTURE OF,Stephen R. Grossbart,1995
2011-16. More Than Gossamer: Amphibious American Connections in the,Stephen Tuffnell,2011
2010-16. More Than Gossamer: Amphibious American Connections in the,Stephen Tuffnell,2010
"2002-7. COMMERCE, VIOLENCE, AND",Steve Fountain,2002
2007-32. Reopening the Slave Trade in Antebellum America,Steve Kantrowitz,2007
2007-32. Reopening the Slave Trade in Antebellum America,Steve Kantrowitz,2007
1990-11. Acculturation and Nativism in Canada and the Early,Steve Potts,1990
"1987-1. Symposium on Labor, Ideology, and Class in the",Steve Ross,1987
"1987-1. Symposium on Labor, Ideology, and Class in the",Steve Ross,1987
2011-27. Mourning in America: Political Funerals in the Early Republic,Steven C. Bullock,2011
2017-11 • ROUNDTABLE: THE ART AND PRACTICE OF BIOGRAPHY,Steven C. Bullock,2017
2019-15 • DIFFERENT DRUMMERS: IMPROVISING SINGULAR,Steven C. Bullock,2019
2010-27. Mourning in America: Political Funerals in the Early Republic,Steven C. Bullock,2010
"1987-1. Nineteenth-Century Republicanism, Room 1505",Steven C. Bullock,1987
1994-Panel 19: Drawing the Boundaries of the Sacred:,Steven C. Bullock,1994
1995-8. THE POLITICAL CULTURE OF,Steven C. Bullock,1995
2010-36. Placing Children and Childhood in Antebellum Reform,Steven C. Harper,2010
2004-15. Religion and Politics in the Early Republic (First Baptist Church in America),Steven C. Harper,2004
2019-19 • ROUNDTABLE: TEACHING MAJOR TOPICS TO NONHISTORY STUDENTS,Steven Carl Smith,2019
2021-30: Nature And Place: Community Building And,Steven Carl Smith,2021
"2014-50  RUMOR, GENDER, AND INTERRACIAL RELATIONSHIPS",Steven Deyle,2014
2015-29 • NEW PERSPECTIVES ON WOMEN AND THE SLAVE TRADE,Steven Deyle,2015
"1989-6. Black Migrations, Forced and ""Invited""",Steven Deyle,1989
1998-1. the Second Middle Passage John Brown Room,Steven Deyle,1998
1999-1. Expanding the Boundaries,Steven Hackel,1999
"2006-1. SÉANCE PLÉNIÈRE – PLENARY SESSIONNo. 1 7:00 – 9:00 PM Pavillon 3200, rue Jean-Brillant Université de Montréal Histoires nationales, dimensions internationales National Histories, International Engagements",Steven Hackel,2006
"2008-7. Mythic Republic, Global Republic: Misperception, Jacksonian",Steven Heath Mitton,2008
2009-40. The Legal Framework of the West and Its Operation,Steven J. Macias,2009
"1987-1. Workers, Inventors, and Technological Change",Steven Lubar,1987
1992-11. The Political Economy of Manufacturing,Steven Lubar,1992
"2016-31 • COMMON SENSE, SELF",Steven Pincus,2016
"1983-4. The Emerging Second Party System: Chair,",Steven R. Boyd,1983
1985-1. Federalism and the Common Law Chair:,Steven R. Boyd,1985
1986-1. George Washington & 'the baneful effects of the spirit,Steven R. Boyd,1986
"1987-1. The History Teaching Alliance: Prospects for Historians of the Early American Republic,",Steven R. Boyd,1987
1992-4. 1789 and the Federal Government: Administrative,Steven R. Boyd,1992
1981-1. Law and Politics in the Early Republic.,Steven R. Boyd,1981
2000-10. AGRICULTURE AND REFORM IN THE EARLY,Steven Stoll,2000
"1983-7. Story and Song: Chair,",Steven Watts,1983
1988-1. Plenary,Steven Watts,1988
1989-7. The United States Army in the Seminole Wars,Steven Watts,1989
"2009-45. The Continuing Impact of the Enlightenment: American Politics,",Stewart Winger,2009
1996-1. Firebell in the Night? Thomas Jefferson's,Stuart Leibiger,1996
1999-1. State and National Politics in Virginia Room 212,Stuart Leibiger,1999
1999-1. State and National Politics in Virginia Room 212,Stuart Leibiger,1999
2001-1. WRITING TWENTY-FIRST CENTURY BIOGRAPHIES OF GREAT WHITE MEN,Stuart Leibiger,2001
"1993-14. Organizing Public Opinion, 1791-1824",Stuart Seely Sprague,1993
"2021-23: Local Officials, Legal Professionalization, And",Sung Yup Kim,2021
"1993-25. Abolition, Gender, and Reform in the",Susan A. Eacker,1993
"1983-1. Technology and the Environment: Chair,",Susan Bowler,1983
2012-KNOWLEDGE IN THE EARLY REPUBLIC,Susan Brandt,2012
2014-35  WOMEN AND ECONOMIC SPACES IN EARLY,Susan Brandt,2014
2008-26. The Origins of the Constitution: Beyond Beard,Susan Branson,2008
2017-24 • FORECASTING THE FUTURE IN ANTEBELLUM AMERICA,Susan Branson,2017
"2018-9 • STEAMED UP: SCIENCE, POLITICS, AND POPULAR",Susan Branson,2018
2021-30: Nature And Place: Community Building And,Susan Branson,2021
"1991-3. Federalists, Republicans, and the",Susan Branson,1991
1995-24. WOMEN'S RIGHTS IN THE EARLY,Susan Branson,1995
"1999-1. Money, Gender, and Power:",Susan Branson,1999
2003-2. THE FRENCH CONNECTION AND AMERICAN WOMEN,Susan Branson,2003
1994-Panel 16: Gendered Modes of Religious,Susan E. Gray,1994
2001-1. WOMEN AND THE LANGUAGE OF,Susan E. Gray,2001
2014-44  MOTHERHOOD AND THE FEMALE BODY IN THE EARLY,Susan E. Klepp,2014
2017-24 • FORECASTING THE FUTURE IN ANTEBELLUM AMERICA,Susan E. Klepp,2017
1992-21. The Bard and the Bawd: High Brow/Low Brow in,Susan E. Klepp,1992
1995-14. POVERTY & DEATH:,Susan E. Klepp,1995
1995-14. POVERTY & DEATH:,Susan E. Klepp,1995
2000-13. POPULAR MEDICINE IN THE EARLY REPUBLIC,Susan E. Klepp,2000
2002-1831. Why Robert Dale Owen Wrote Moral : . Physiology,Susan E. Klepp,2002
2021-60: Shearites Confront Covid,Susan Ferber,2021
"2009-36. Identity and Reputation on the Southern Frontier, 1780-1820",Susan Gaunt,2009
